Name,Title,Company,Youtube URL
David Parsons,VP of Global Alliances & CMO,CSC,https://www.youtube.com/watch?v=TGhEPxJhFUU
Anubhav Saxena,CMO,HCL,https://www.youtube.com/watch?v=FNNStsNemyg
—,Chief Marketing Officer,VMware,https://www.youtube.com/watch?v=v8VDv43SzAk
Lauren Flaherty,EVP & CMO,Juniper Networks,https://www.youtube.com/watch?v=MzTdmXmGYVs
Jonathan Becher,—,SAP,https://www.youtube.com/watch?v=fkz_N1lnNuw
David Parsons,Corporate VP of Global Alliances & CMO,CSC,https://www.youtube.com/watch?v=epdon21Mv6c
Siki Giunta,VP of Cloud Division,CSC,https://www.youtube.com/watch?v=epdon21Mv6c
Rick Jackson,CMO,VMware,https://www.youtube.com/watch?v=OfK9dbZm6Uc
Dan Roger,Chief Marketing Officer,ServiceNow,https://www.youtube.com/watch?v=owPlKiH_qgk
Allison Dew,–,–,https://www.youtube.com/watch?v=HATTu3ygMEA
Kash Shaikh,–,–,https://www.youtube.com/watch?v=bs7lwnb2Mhw
Ben Gibson,CMO,Nutanix,https://www.youtube.com/watch?v=VGbo_2I08Ko
Brian Sommer,Industry Analyst,TechVentive,https://www.youtube.com/watch?v=nKOhl6Ejejk
Mark Boulton,CMO,IFS,https://www.youtube.com/watch?v=nKOhl6Ejejk
Antony Bourne,VP Global Industry Solutions,IFS,https://www.youtube.com/watch?v=nKOhl6Ejejk
Stefan Willkommer,CEO,TechDivision,https://www.youtube.com/watch?v=FerBo8ZdOsU
Dr. Markus Reheis,CMO,Gabor Shoes,https://www.youtube.com/watch?v=FerBo8ZdOsU
Ben Gibson,CMO,Nutanix,https://www.youtube.com/watch?v=BDv1Kgb2a4Y
Eric Herzog,CMO & VP of Global Channels,IBM Storage Systems,https://www.youtube.com/watch?v=VxHEPhLX-kE
Brian Reagan,Chief Marketing Officer,Actifio,https://www.youtube.com/watch?v=qM4-UKzu05A
Mike Errity,VP North America,IBM Resiliency Services,https://www.youtube.com/watch?v=qM4-UKzu05A
Lynn Lucas,CMO,Cohesity,https://www.youtube.com/watch?v=LOmyi_TsBPc
Blaine Mathieu,–,–,https://www.youtube.com/watch?v=7vytpIWgmQw
Daniel Raskin,–,–,https://www.youtube.com/watch?v=J9aqlUa3iHc
Eric Herzog,CMO & VP of Worldwide Storage Channels,IBM Storage Channels,https://www.youtube.com/watch?v=TrlGa3YEqDk
Eric Herzog,CMO & VP of Worldwide Storage Channels,IBM Storage Channels,https://www.youtube.com/watch?v=pW08KMhKfkw
Dan Rogers,CMO,ServiceNow,https://www.youtube.com/watch?v=L0y_LZ3TaAU
Eric Herzog,Chief Marketing Officer,IBM Storage Systems,https://www.youtube.com/watch?v=29hbo43dIE0
Robson Grieve,Chief Marketing Officer,New Relic Inc.,https://www.youtube.com/watch?v=A7s5rT6tQmY
Bobby Patrick,CMO,UiPath,https://www.youtube.com/watch?v=kxo-f-z9lzk
Nancy Pearson,CMO,OpenLink,https://www.youtube.com/watch?v=BC5m_miiVt8
Lawrence Schwartz,CMO,SoftwareONE,https://www.youtube.com/watch?v=akdbPtQiZrg
Simon West,CMO,Cyxtera,https://www.youtube.com/watch?v=gJmCYOQuroQ
Matt Morgan,CMO,Druva,https://www.youtube.com/watch?v=Wtc_A6NamgY
Jean English,–,NetApp,https://www.youtube.com/watch?v=ZJBI5mwd0TU
Jeff Veis,–,–,https://www.youtube.com/watch?v=jgPIjkNuFR0
Dr. Mark Ramsey,–,–,https://www.youtube.com/watch?v=FbtY0M6EPd4
Bruno Aziza,–,–,https://www.youtube.com/watch?v=FbtY0M6EPd4
Brian Goldfarb,CMO,Splunk,https://www.youtube.com/watch?v=TxQApC4GFmA
Lynn Lucas,–,Veritas,https://www.youtube.com/watch?v=vIX9bN_8yWA
Robin Matlock,–,VMware,https://www.youtube.com/watch?v=lX-hRHZDrpk
Eric Herzog,IBM Storage Systems,IBM,https://www.youtube.com/watch?v=0aS5ORGu0oE
Steven Kenniston,The Storage Alchemist,–,https://www.youtube.com/watch?v=0aS5ORGu0oE
Eric Herzog,IBM Storage Systems,IBM,https://www.youtube.com/watch?v=qGIROVt2HcE
Sam Werner,IBM Software Defined Storage,IBM,https://www.youtube.com/watch?v=qGIROVt2HcE
Josh Epstein,CMO,Kaminario,https://www.youtube.com/watch?v=tWNIGOII4AM
Eyal David,CTO,Kaminario,https://www.youtube.com/watch?v=tWNIGOII4AM
Randy Arseneau,INFINIDAT,INFINIDAT,https://www.youtube.com/watch?v=-33sItcspLo
Brian Carmody,INFINIDAT,INFINIDAT,https://www.youtube.com/watch?v=-33sItcspLo
Matthew Morgan,CMO,Druva,https://www.youtube.com/watch?v=cf1vPcFW5to
Jaspreet Singh,CEO,Druva,https://www.youtube.com/watch?v=cf1vPcFW5to
Jeremy Burton,–,Dell,https://www.youtube.com/watch?v=M6MA_znnIhk
Karen Steele,GVP Corporate Marketing,Marketo,https://www.youtube.com/watch?v=ZeJ8b3nORZU
David Gee,CMO,Zuora,https://www.youtube.com/watch?v=tx1L51WXrc0
Chip Coyle,–,–,https://www.youtube.com/watch?v=bSfOFtxbf_U
Itamar Ankorion,CMO,Attunity,https://www.youtube.com/watch?v=eUccjH2UYCU
Arvind Rajagopalan,Director - Global Technology Services,Verizon,https://www.youtube.com/watch?v=eUccjH2UYCU
David Hseih,CMO,Qubole,https://www.youtube.com/watch?v=R666aLzZWT4
Matt Howard,Executive VP & CMO,Sonatype,https://www.youtube.com/watch?v=R01xef1dYAg
Sally Jenkins,EVP & Chief Marketing Officer,Informatica,https://www.youtube.com/watch?v=RQgKzvyQGtQ
Jeremy Burton,CMO,Dell,https://www.youtube.com/watch?v=O7dYr7XP_dA
Dan Rogers,–,ServiceNow,https://www.youtube.com/watch?v=CJyyRUOw4NQ
Laura Ipsen,GM and SVP of Oracle Marketing Cloud,Oracle,https://www.youtube.com/watch?v=EsYl_Txwhac
Kristen O'Hara,Chief Marketing Officer for Global Media,Time Warner,https://www.youtube.com/watch?v=EsYl_Txwhac
Brian Goldfarb,CMO,Splunk,https://www.youtube.com/watch?v=iOAvU3tx8hE
Alan Nance,–,–,https://www.youtube.com/watch?v=RgAdt9bONSg
Martin Lidl,–,Deloitte,https://www.youtube.com/watch?v=kwGYo8anwjw
Chris Murphy,IT Solution Architect,–,https://www.youtube.com/watch?v=kwGYo8anwjw
Itamar Ankorion,CMO,Attunity,https://www.youtube.com/watch?v=kwGYo8anwjw
Ben Parr,Co-Founder & CMO,Octane AI,https://www.youtube.com/watch?v=riKER3eQixs
Manish Gupta,Chief Marketing Officer,Redis Labs,https://www.youtube.com/watch?v=gCaYy-kYSeA
David Gee,CMO,Zuora,https://www.youtube.com/watch?v=cuoWZKkBhX8
Bobby Patrick,CMO,HPE Cloud,https://www.youtube.com/watch?v=RULJUGmz44k
Randy Arseneau,CMO,INFINIDAT,https://www.youtube.com/watch?v=Eg3NCDVAITs
Michelle Peluso,–,IBM,https://www.youtube.com/watch?v=fTaageUbfYo
Stephen Kelly,–,Avanade,https://www.youtube.com/watch?v=4J8Fq1Fgs2E
Stella Goulet,–,Avanade,https://www.youtube.com/watch?v=4J8Fq1Fgs2E
Marie Hattar,CMO,Ixia,https://www.youtube.com/watch?v=22sAY8oHcBo
Michele Chambers,–,Continuum Analytics,https://www.youtube.com/watch?v=bHQSVwwF5AE
Jacqueline Woods,–,IBM,https://www.youtube.com/watch?v=-IMnWRfev5o
Steve Pao,CMO,Igneous Systems,https://www.youtube.com/watch?v=cVhBBBLGFb8
Subbu Iyer,–,Riverbed,https://www.youtube.com/watch?v=FkDGrm_FYAw
Lawrence Schwartz,–,SoftwareONE,https://www.youtube.com/watch?v=LNbsl17zF4s
Randy Arseneau,–,INFINIDAT,https://www.youtube.com/watch?v=AsPjie2-U4c
Steve Kenniston,–,INFINIDAT,https://www.youtube.com/watch?v=AsPjie2-U4c
Robin Matlock,–,VMware,https://www.youtube.com/watch?v=1HXZZTzYgiQ
Mike Davis,–,NooBaa,https://www.youtube.com/watch?v=jJr0PO1psys
Yuval Dimnik,–,NooBaa,https://www.youtube.com/watch?v=jJr0PO1psys
John Magee,CMO,Predix, General Electric,https://www.youtube.com/watch?v=i47gqRqQVvA
Randy Arsenau,CMO,INFINIDAT,https://www.youtube.com/watch?v=Xm4Y2hpkMv0
Steve Kenniston,VP of Product Marketing,INFINIDAT,https://www.youtube.com/watch?v=Xm4Y2hpkMv0
Howard Ting,–,Nutanix,https://www.youtube.com/watch?v=E00Ibfhwpz8
Ashely Stirrup,–,Talend,https://www.youtube.com/watch?v=fas0hxVXgYE
Bobby Patrick,–,HPE,https://www.youtube.com/watch?v=Yg3IoUAWM-E
Dave McCrory,–,Basho,https://www.youtube.com/watch?v=Yg3IoUAWM-E
Jim Davis,–,Informatica,https://www.youtube.com/watch?v=3FQYm1Gxlz4
Vik Kathuria,Global Agency Partnerships,OMB, Oracle,https://www.youtube.com/watch?v=ZkjIeeMdvCk
Eric Reynolds,–,The Clorox Company,https://www.youtube.com/watch?v=TXhUmL0ZbrA
Steve Krause,–,Oracle Marketing Cloud,https://www.youtube.com/watch?v=9pmni-i1hOs
Lawrence Schwartz,–,Attunity,https://www.youtube.com/watch?v=H8WopsQYr68
Jim Davis,–,Informatica,https://www.youtube.com/watch?v=XjHLBySKpa8
West Durow,–,Mitel Networks,https://www.youtube.com/watch?v=aWAJlyRZi50
Sajeel Hussain,–,CafeX,https://www.youtube.com/watch?v=Za8HE1zkAt4
Jack Norris,–,MapR,https://www.youtube.com/watch?v=3YMDkh9M0WQ
Bobby Patrick,–,HPE,https://www.youtube.com/watch?v=5DEgnXNq4d4
Elle Shelley,–,Local Motors,https://www.youtube.com/watch?v=Sj8bH4fNvg0
Jay Rodgers,–,Local Motors,https://www.youtube.com/watch?v=Sj8bH4fNvg0
Karen Quintos,–,Dell,https://www.youtube.com/watch?v=yymHd4zh1PE
Mick Slattery,–,Avanade,https://www.youtube.com/watch?v=g0EaqRuPojU
Stella Goulet,–,Avanade,https://www.youtube.com/watch?v=g0EaqRuPojU
Quentin Gallivan,–,Pentaho,https://www.youtube.com/watch?v=IU7XPGNsDoA
Rosanne Saccone,–,Pentaho,https://www.youtube.com/watch?v=pEPMelVpL6M
Bruno Aziza,–,AtScale,https://www.youtube.com/watch?v=dIU-wX0ZJ-k
Lawrence Schwartz,–,Attunity,https://www.youtube.com/watch?v=pFvTtJ_nSlI
Steve Sommer,–,Splunk,https://www.youtube.com/watch?v=snKJwq5nSQI
Narayan Venkat,–,Tegile,https://www.youtube.com/watch?v=BJCyuqWU5W0
